case_type,user_id,candidate_item_id,label,relevance_probability,calibrated_relevance_probability,positive_evidence,negative_evidence,abs_evidence_margin,ambiguity,missing_information,evidence_risk,old_rank,new_rank,rank_delta,candidate_title_or_text,reason
promoted,AEFMCBLYNEBUKFSKBXOBRV7QFRLA,B0B8NLVLPD,0,0.15,0.0879120879,0.1,0.8,0.7000000000000001,0.1,0.30000000000000004,0.2333333333,6,1,5,10 Pairs D Curl Fake Eyelashes Russian Strip Lashes False Eyelashes Faux Mink Lashes Natural Wispy Fluffy Russian Eyelashes reusable eyelashes (left.14-middle.16mm-right.8 -dense c,"The user history shows gaming headphones and a bronzer duo, neither of which relates to false eyelashes."
promoted,AE2NWYXUAEO5SWKLRYZQD6LMTDVA,B09NFQ69KT,0,0.15,0.0879120879,0.1,0.7000000000000001,0.6000000000000001,0.2,0.5,0.36666666670000003,6,1,5,"ZUK Black Matte Lipstick 2Pcs Suede Cream Liquid Lipstick Set for Women, Vegan and Cruelty Free, 0.34 Fl Oz","The user's history shows a cleansing bar soap for skin, while the candidate is a makeup lipstick set, indicating a different product category and likely different user intent."
promoted,AEAFXKZ7YPG566WU6ZM33SDBJBLQ,B075KLSX61,0,0.15,0.0879120879,0.1,0.8,0.7000000000000001,0.1,0.30000000000000004,0.2333333333,6,2,4,"Osensia Silver Conditioner for Brassy Hair - Toning Purple Conditioner - Paraben Free Blonde Treatment for Highlights, Platinum, Bleached, and Gray Hair - Grape Seed Hydrates and B","User history shows nail art and decorations, while the candidate is a hair conditioner with no apparent topical or functional overlap."
promoted,AEBD4EQFW4THUDUVAETCYTEDJU6Q,B09G22586Y,0,0.15,0.0879120879,0.1,0.8,0.7000000000000001,0.1,0.4,0.2666666667,6,2,4,"Automatic Curling Iron, Rechargeable Cordless Hair Curler with LCD Digital Display and 6 Temperature Settings, Fast Heating Portable Automatic Hair Curler for Styling Hair Anytime ","The user's history shows interest in Halloween costumes and rocker accessories, while the candidate is a hair styling tool with no thematic or functional overlap."
promoted,AE6J77LJBLTGMPPCT4VE2A5RCPPA,B0B5X48DZR,1,0.15,0.0879120879,0.1,0.7000000000000001,0.6000000000000001,0.2,0.30000000000000004,0.30000000000000004,6,2,4,"HATELI Six types of combs Detangling Pet Comb with Long & Short Stainless Steel Teeth for Removing Matted Fur, Knots & Tangles – Detangler Tool Accessories for Safe & Gentle DIY Do","The user interacted with an automatic hair curler, but the candidate is a pet grooming comb, which serves a completely different purpose and category."
promoted,AEGTJSI4X2EZHAL5VWJV3RCJIO4A,B08SJKR877,1,0.85,0.2953020134,0.8,0.1,0.7000000000000001,0.1,0.2,0.2,4,1,3,"Dip Powder Nail Starter Kit 8 Colors Acrylic Dipping Powder System for French Nail Manicure Nail Art Set, Portable Kit for Trave, No LED Nail Lamp Needed…","User has shown strong interest in nail art and acrylic products, and the candidate is a dip powder nail starter kit that aligns with that category."
promoted,AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,B09NKFQL53,0,0.75,0.2953020134,0.7000000000000001,0.2,0.5,0.2,0.2,0.30000000000000004,5,2,3,8PC Lazy Bird's Nest Plate Hairpin Velvet Bird Nest Shaped Hair Clips Expandable Ponytail Holder Hair Loops Nest Plate Hairpin Hair Claw Clip barrette,"The user has shown strong interest in hair accessories and styling tools, making this bird nest hair clip set highly relevant."
promoted,AE36JXY5V7OIPWMB6RBU2STT6FNQ,B097644F71,1,0.15,0.0879120879,0.1,0.7000000000000001,0.6000000000000001,0.2,0.30000000000000004,0.30000000000000004,6,3,3,TODAYADAY’s Baby Foot Peel Mask for Dry Cracked Feet (3 Pairs) - Removes & Repairs Rough Heels - Moisturizing Feet Peeling Mask for Callus and Dead Skin,"The user's history shows interest in hair detangling brushes, while the candidate is a foot peel mask, which is a completely different product category with no apparent topical overlap."
promoted,AECJWYAOJ34RILHGK2CKU42UOVKA,B094VSZNNK,0,0.15,0.0879120879,0.1,0.7000000000000001,0.6000000000000001,0.2,0.30000000000000004,0.30000000000000004,5,2,3,"Ombre Wigs Short Bob Wigs 2 in 1 Curly Wig + Straight Wig Ombre Red Blonde Bob Wig for Women Synthetic Cosplay Daily Wigs(12"", Rust Red Blonde)","The user's history shows interest in nail care, eye masks, and soap dispensers, with no indication of interest in wigs or hair products."
promoted,AEHTPCFFRZYADDJ6LUHMWN5R2PRA,B0B6DPNJHQ,1,0.75,0.2953020134,0.7000000000000001,0.2,0.5,0.2,0.2,0.30000000000000004,5,2,3,"[SKIN&LAB] Barrierderm Milky Serum | Infused with Milk Ceramide Complex, Squalane, and Panthenol to Nourish Skin | Lock Moisture in Skin and Repair Skin Barrier | Hypoallergenic & ","User history shows strong interest in skincare and beauty products, and the candidate serum aligns with that pattern."
demoted,AE5OJZNODDQGPPOU2H3A5N2VDO5Q,B00DT4757A,0,0.30000000000000004,0.0879120879,0.2,0.5,0.30000000000000004,0.4,0.6000000000000001,0.5666666667,1,6,-5,"Fleece Ear Warmers Headband for Men & Women, Thermal Polar Ear Muffs Warmers Keep You Warm and Cozy for Daily Wear, Sports, Running, Skiing and More","The user's history shows a hair/beauty product, while the candidate is a cold-weather accessory with no clear topical overlap."
demoted,AEB7FRW6CDYD5PLD2DR4SETFUCGA,B07MN1KJ15,0,0.35000000000000003,0.0879120879,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,2,6,-4,"MBA Renewing Retinol Serum, 1.7 fl. oz, 0.5% Retinol Hydrates & Brightens Skin's Appearance by Diminishing the Look of Breakouts, Hyperpigmentation, and Signs of Aging by Higher Ed","User history shows a sunscreen for kids, while candidate is an anti-aging retinol serum, indicating different skincare concerns and target users."
demoted,AEM7EJAYZXFKI3EHNKRUNCJEAQLA,B07PTQHSQS,0,0.35000000000000003,0.0879120879,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,2,6,-4,"DERMALOGY by NEOGENLAB Real Charcoal Pad, 60 Count","The user's interest in beard care products does not strongly align with charcoal face pads, which target a different grooming category."
