pair_id,source_event_id,user_id,split_name,timestamp,positive_item_id,num_candidates,total_possible_pairs,item_a_id,item_b_id,item_a_title,item_b_title,item_a_popularity_group,item_b_popularity_group,preferred_item_true,preferred_item_pred,non_preferred_item_pred,pair_type,pair_confidence,pair_reason,pair_parse_success,item_a_uncertainty,item_b_uncertainty,item_a_uncertainty_confidence,item_b_uncertainty_confidence,item_a_matched_uncertainty,item_b_matched_uncertainty,pair_uncertainty,pair_reliability_weight,base_rank_item_a,base_rank_item_b,event_mean_uncertainty,event_uncertainty_coverage_rate,uncertainty_source
AE23WJKX6B3VKDODOHNNEIUU6KCQ::1612456816810000000::pair::0,AE23WJKX6B3VKDODOHNNEIUU6KCQ::1612456816810000000,AE23WJKX6B3VKDODOHNNEIUU6KCQ,test,2021-02-04 16:40:16.810,B00KXSS326,6,15,B00GHP8SS8,B00KXSS326,Pride and Prejudice,Due South: The Complete Series,tail,head,B00KXSS326,B00GHP8SS8,B00KXSS326,positive_vs_negative,0.7000000000000001,"The user previously interacted with a media item, and Candidate A is a complete TV series with a detailed description.",True,0.2804072918776666,0.2804072918776666,,,False,False,0.2804072918776666,0.7195927081223334,2,3,0.2804072918776666,0.0,pointwise_calibrated
AE26WE7NX7WR6EA6TGXKENGF7KRA::1370042082000000000::pair::0,AE26WE7NX7WR6EA6TGXKENGF7KRA::1370042082000000000,AE26WE7NX7WR6EA6TGXKENGF7KRA,test,2013-05-31 23:14:42.000,B007PKSN0C,6,15,B000FGG738,B007PKSN0C,John Fogerty: The Long Road Home in Concert,,head,mid,B007PKSN0C,B000FGG738,B007PKSN0C,positive_vs_negative,0.7000000000000001,The user's previous music-related item suggests a stronger interest in concert films.,True,0.3056633049,0.3056633049,0.6943366951000001,0.6943366951000001,True,True,0.3056633049,0.6943366951000001,1,3,0.3056633049,1.0,pointwise_calibrated
AE2LIW3O3J5S7VS25MQPPWUUPC4Q::1676783953633000000::pair::0,AE2LIW3O3J5S7VS25MQPPWUUPC4Q::1676783953633000000,AE2LIW3O3J5S7VS25MQPPWUUPC4Q,test,2023-02-19 05:19:13.633,B07Z2DZD62,6,15,B001AT49HK,B07Z2DZD62,Murder Party,Rick and Morty,mid,tail,B07Z2DZD62,B001AT49HK,B07Z2DZD62,positive_vs_negative,0.6000000000000001,"Both are comedic, but Murder Party shares the horror and emotional themes from the user's previous interaction.",True,0.2804072918776666,0.2804072918776666,,,False,False,0.2804072918776666,0.7195927081223334,2,4,0.2804072918776666,0.0,pointwise_calibrated
AE2NCNGVDPIV5A2SGL2KPES6VZ5A::1624559645791000000::pair::0,AE2NCNGVDPIV5A2SGL2KPES6VZ5A::1624559645791000000,AE2NCNGVDPIV5A2SGL2KPES6VZ5A,test,2021-06-24 18:34:05.791,B008XY0RZI,6,15,B005MRUB8C,B008XY0RZI,"Rich Man, Poor Man: The Complete Collection",,mid,mid,B008XY0RZI,B005MRUB8C,B008XY0RZI,positive_vs_negative,0.5,"The user's history suggests a preference for older or nostalgic media, which may align with the unknown item.",True,0.2804072918776666,0.2804072918776666,,,False,False,0.2804072918776666,0.7195927081223334,4,5,0.2804072918776666,0.0,pointwise_calibrated
AE2XY5G7E6CNWIBB6LU5LTQX7V6A::1656520654292000000::pair::0,AE2XY5G7E6CNWIBB6LU5LTQX7V6A::1656520654292000000,AE2XY5G7E6CNWIBB6LU5LTQX7V6A,test,2022-06-29 16:37:34.292,B093XZJ4F5,6,15,B00L4FQOF0,B093XZJ4F5,Magnum P.I.: Season 1,"Walk On: Metabolism Booster DVD with Jessica Smith, Walking at Home Plus Total Body Circuit Strength Training for Women and Bonus Strong Knees Routine, Beginner, Intermediate Level",tail,tail,B093XZJ4F5,B00L4FQOF0,B093XZJ4F5,positive_vs_negative,0.5,"Insufficient data, choosing based on earlier item ID pattern.",True,0.3056633049,0.3056633049,0.6943366951000001,0.6943366951000001,True,True,0.3056633049,0.6943366951000001,4,5,0.23710886993333335,1.0,pointwise_calibrated
AE3ETSP4VE537L44KO5GBHUWR2GA::1376402278000000000::pair::0,AE3ETSP4VE537L44KO5GBHUWR2GA::1376402278000000000,AE3ETSP4VE537L44KO5GBHUWR2GA,test,2013-08-13 13:57:58.000,B005F0TGXM,6,15,B005F0TGXM,B002WG2EW2,,National Geographic - Beyond the Movie - Alexander,mid,mid,B005F0TGXM,B005F0TGXM,B002WG2EW2,positive_vs_negative,0.7000000000000001,"The user's history suggests an interest in documentary-style entertainment, making the reality adventure series a closer match.",True,0.3056633049,0.3056633049,0.6943366951000001,0.6943366951000001,True,True,0.3056633049,0.6943366951000001,4,5,0.26138608741666663,1.0,pointwise_calibrated
AE3G6KK2EORJX5UGF6NL6GDCTVKQ::1497850884420000000::pair::0,AE3G6KK2EORJX5UGF6NL6GDCTVKQ::1497850884420000000,AE3G6KK2EORJX5UGF6NL6GDCTVKQ,test,2017-06-19 05:41:24.420,B01M5HAAFN,6,15,B000P0J08S,B01M5HAAFN,Chasing Liberty (DVD) (WS),Prometheus,mid,head,B01M5HAAFN,B000P0J08S,B01M5HAAFN,positive_vs_negative,0.7000000000000001,"The user previously watched a movie, and Candidate A is a similar genre film with a detailed description.",True,0.3056633049,0.3056633049,0.6943366951000001,0.6943366951000001,True,True,0.3056633049,0.6943366951000001,4,6,0.3056633049,1.0,pointwise_calibrated
AE3OMBRSDC5AMN5QER4M336GEYAQ::1659292465488000000::pair::0,AE3OMBRSDC5AMN5QER4M336GEYAQ::1659292465488000000,AE3OMBRSDC5AMN5QER4M336GEYAQ,test,2022-07-31 18:34:25.488,B09KCMQFSJ,6,15,B09KCMQFSJ,B000I9YLWG,Barbie in A Christmas Carol,Best of Caillou: Caillou Goes to School,head,mid,B09KCMQFSJ,B000I9YLWG,B09KCMQFSJ,positive_vs_negative,0.5,The older item ID format may align more closely with the user's previous interactions.,True,0.3056633049,0.3056633049,0.6943366951000001,0.6943366951000001,True,True,0.3056633049,0.6943366951000001,1,4,0.3056633049,1.0,pointwise_calibrated
AE3RR5OHXZNWCQFYRCLR3IJYKBPA::1427748620000000000::pair::0,AE3RR5OHXZNWCQFYRCLR3IJYKBPA::1427748620000000000,AE3RR5OHXZNWCQFYRCLR3IJYKBPA,test,2015-03-30 20:50:20.000,B002XXLKL0,6,15,B0172TSNO6,B002XXLKL0,Yo Gabba Gabba!: Clubhouse,,tail,mid,B002XXLKL0,B0172TSNO6,B002XXLKL0,positive_vs_negative,0.5,No meaningful information is available to make a reliable comparison.,True,0.2804072918776666,0.2804072918776666,,,False,False,0.2804072918776666,0.7195927081223334,5,3,0.2804072918776666,0.0,pointwise_calibrated
AE3X2LSCV3M46STCIZVEE4XGD7RQ::1387457414000000000::pair::0,AE3X2LSCV3M46STCIZVEE4XGD7RQ::1387457414000000000,AE3X2LSCV3M46STCIZVEE4XGD7RQ,test,2013-12-19 12:50:14.000,B001EBV0JE,6,15,B001EBV0JE,B07S7K4F2J,High Noon,Captain America: The Winter Soldier (DVD),mid,tail,B001EBV0JE,B001EBV0JE,B07S7K4F2J,positive_vs_negative,0.5,The item ID format is closer to the user's previous interactions.,True,0.3056633049,0.3056633049,0.6943366951000001,0.6943366951000001,True,True,0.3056633049,0.6943366951000001,6,5,0.20969439755,1.0,pointwise_calibrated
