case_type,sample_id,user_history_truncated,candidate_pool,target_item_id,predicted_ranked_item_ids,target_rank,NDCG,MRR,parse_success,failure_reason,raw_output_truncated
hit1,beauty_test_AE2ED6WSUDMW3NGBDG4NWQCYNOMQ_listwise,"[{""item_id"": ""B0BDYXW42R"", ""title"": ""Satin Bridesmaid Scrunchies Bachelorette Hair Ties Set of 6 sunglasses Bridal Shower No Damage Hairties ideas Gift for Wedding Party Favors Bridesmaid Proposal Gifts (12pcs Sage Green)"", ""text"": ""Title: Satin Bridesmaid Scrunchies Bachelorette Hair Ties Set of 6 sunglasses Bridal Shower No Damage Hairties ideas Gift for Wedding Party Favors Bridesmaid Proposal Gifts (12pcs Sage Green) Description: Good ideas Loanzeg Scrunchies bulk pack includes 12pcs hair Sc","[""B01EK2F1PC"", ""B0BSV97728"", ""B08BFH35VX"", ""B09LBK3TNZ"", ""B088H81Q7P"", ""B097TV9CR6""]",B0BSV97728,"[""B0BSV97728"", ""B01EK2F1PC"", ""B08BFH35VX"", ""B09LBK3TNZ"", ""B088H81Q7P"", ""B097TV9CR6""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BSV97728"",""B01EK2F1PC"",""B08BFH35VX"",""B09LBK3TNZ"",""B088H81Q7P"",""B097TV9CR6""]}"
hit1,beauty_test_AE2WYNQPBMS67OHFWV63NI4MSJEA_listwise,"[{""item_id"": ""B0BVQQ58G8"", ""title"": ""Beauty Bakerie Lip Whip Liquid Metallic Lipstick, Long Lasting Lip Color, Smudge Proof Makeup, Berried, 3.5 mL"", ""text"": ""Title: Beauty Bakerie Lip Whip Liquid Metallic Lipstick, Long Lasting Lip Color, Smudge Proof Makeup, Berried, 3.5 mL Description: Beauty Bakerie Berried metallic Lip whip is a metallic red liquid lipstick with hints of deep purple. It is long-lasting, smudge-proof and waterproof. Glides smoothly over lips, It is a weightless and non-stick","[""B08C7BP588"", ""B07PHWX88W"", ""B07D5FBFQ4"", ""B0BXB4J297"", ""B08J7R5HHX"", ""B08BYKQS9S""]",B0BXB4J297,"[""B0BXB4J297"", ""B08C7BP588"", ""B07PHWX88W"", ""B07D5FBFQ4"", ""B08J7R5HHX"", ""B08BYKQS9S""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BXB4J297"",""B08C7BP588"",""B07PHWX88W"",""B07D5FBFQ4"",""B08J7R5HHX"",""B08BYKQS9S""]}"
hit1,beauty_test_AE35PCM2KBCWJ6GVCK4WYQGR5SHQ_listwise,"[{""item_id"": ""B09V1WZTDP"", ""title"": ""Sunny Isle Jamaican Black Castor Oil Pure Butter infused with Tea Tree Oil, 4 Oz"", ""text"": ""Title: Sunny Isle Jamaican Black Castor Oil Pure Butter infused with Tea Tree Oil, 4 Oz"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B0B4KS62Z8"", ""title"": ""L'ANGE HAIR Rubber Sectioning Hair Clips | Narrow-Tipped Design | For Parting & Sectioning Hair | Easy Grip Handles | Professional Styling Results | 6-Pack (Blush)"",","[""B08G83G24X"", ""B0BGT17QQG"", ""B089D16BWJ"", ""B085J354CL"", ""B08WCG4JCC"", ""B08SHXV5T8""]",B0BGT17QQG,"[""B0BGT17QQG"", ""B08G83G24X"", ""B089D16BWJ"", ""B085J354CL"", ""B08WCG4JCC"", ""B08SHXV5T8""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BGT17QQG"",""B08G83G24X"",""B089D16BWJ"",""B085J354CL"",""B08WCG4JCC"",""B08SHXV5T8""]}"
hit1,beauty_test_AE3AHOMNAUCHRF56YVRJVB5K2BVQ_listwise,"[{""item_id"": ""B07J3H27BJ"", ""title"": ""Spoontiques Hair and Face Wraps - Multifunctional Bandanna - Headband - Scarf - Neck Gaiter- Balaclava - Peacock"", ""text"": ""Title: Spoontiques Hair and Face Wraps - Multifunctional Bandanna - Headband - Scarf - Neck Gaiter- Balaclava - Peacock Description: Our hair wraps feature fun patterns, are made from 100% polyester, and are 19\"" long. They can be worn in multiple ways, including as a headband, bandana, ponytail holder and more!"", ""text_missing"": false, ","[""B07JHV9P52"", ""B07J3H27BJ"", ""B08LPS9QXQ"", ""B089NQKSLR"", ""B08GCJZW9V"", ""B089KDH1H5""]",B07J3H27BJ,"[""B07J3H27BJ"", ""B07JHV9P52"", ""B08LPS9QXQ"", ""B089NQKSLR"", ""B08GCJZW9V"", ""B089KDH1H5""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B07J3H27BJ"",""B07JHV9P52"",""B08LPS9QXQ"",""B089NQKSLR"",""B08GCJZW9V"",""B089KDH1H5""]}"
hit1,beauty_test_AE3KLVXGZPANXE5XLXYKHTVAZ3FQ_listwise,"[{""item_id"": ""B07K1QJH5P"", ""title"": ""Mane Tame Deluxe Pomade 3.3oz/97mL - Firm Hold, Medium Shine - Made in USA, Water-Based, Combable, Rinses Out Easily, BARBER RECOMMENDED - Best used on dry hair"", ""text"": ""Title: Mane Tame Deluxe Pomade 3.3oz/97mL - Firm Hold, Medium Shine - Made in USA, Water-Based, Combable, Rinses Out Easily, BARBER RECOMMENDED - Best used on dry hair"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B01N7A5AGF"", ""title"": ""Easyd","[""B07DNGSYK8"", ""B0849YFB92"", ""B07WRF6KMW"", ""B07S9H98QF"", ""B08Z7FQGW3"", ""B0857H7SCD""]",B08Z7FQGW3,"[""B08Z7FQGW3"", ""B07DNGSYK8"", ""B0849YFB92"", ""B07WRF6KMW"", ""B07S9H98QF"", ""B0857H7SCD""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B08Z7FQGW3"",""B07DNGSYK8"",""B0849YFB92"",""B07WRF6KMW"",""B07S9H98QF"",""B0857H7SCD""]}"
hit1,beauty_test_AE53545QTFI7RPWHC2BSGOAD3NYA_listwise,"[{""item_id"": ""B00MQ6BE92"", ""title"": ""OZNaturals Body Butter – This Natural Body Moisturizer Contains Sweet Almond & Macadamia Nut - This Luxurious Skin Moisturizer Will Provide Your Body With A Healthy Vibrant Glow!"", ""text"": ""Title: OZNaturals Body Butter – This Natural Body Moisturizer Contains Sweet Almond & Macadamia Nut - This Luxurious Skin Moisturizer Will Provide Your Body With A Healthy Vibrant Glow! Description: Size:30ML PuriDerma scar removal cream is highly effective in fading away ","[""B08HDG9F44"", ""B0B1T39KQM"", ""B089ZQ8Y95"", ""B0190K63GA"", ""B081N8WY8N"", ""B08CXS5H7N""]",B0190K63GA,"[""B0190K63GA"", ""B08HDG9F44"", ""B0B1T39KQM"", ""B089ZQ8Y95"", ""B081N8WY8N"", ""B08CXS5H7N""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0190K63GA"",""B08HDG9F44"",""B0B1T39KQM"",""B089ZQ8Y95"",""B081N8WY8N"",""B08CXS5H7N""]}"
hit1,beauty_test_AE55NQRWURHFSVJRYDRLZQIL4RDA_listwise,"[{""item_id"": ""B0B34JGPR4"", ""title"": ""Pineapple Gommage Peeling Gel by Vitamasques - Gentle Botanical Cellulose Exfoliator for Sensitive Skin - De-Clogs Pores & Eliminates Dead Skin - Vegan, Free from Parabens & Gluten"", ""text"": ""Title: Pineapple Gommage Peeling Gel by Vitamasques - Gentle Botanical Cellulose Exfoliator for Sensitive Skin - De-Clogs Pores & Eliminates Dead Skin - Vegan, Free from Parabens & Gluten"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {","[""B0BGN49TQL"", ""B087PJ121M"", ""B08DK74M1P"", ""B087GB8ZRF"", ""B08PYMT7BM"", ""B07W7PNSV2""]",B0BGN49TQL,"[""B0BGN49TQL"", ""B087PJ121M"", ""B08DK74M1P"", ""B087GB8ZRF"", ""B08PYMT7BM"", ""B07W7PNSV2""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BGN49TQL"",""B087PJ121M"",""B08DK74M1P"",""B087GB8ZRF"",""B08PYMT7BM"",""B07W7PNSV2""]}"
hit1,beauty_test_AE5IMGWRBJA7JQFBQTBK25HDYGVA_listwise,"[{""item_id"": ""B00O2FGBJS"", ""title"": ""Argan Magic 100% Pure Argan Oil – Moisturizing Oil that Infuses Skin with Enriched Hydration | Leaves Skin Restored & Refreshed | Non-Greasy | Rich in Vitamin E | Made in USA | Cruelty Free (2 oz)"", ""text"": ""Title: Argan Magic 100% Pure Argan Oil – Moisturizing Oil that Infuses Skin with Enriched Hydration | Leaves Skin Restored & Refreshed | Non-Greasy | Rich in Vitamin E | Made in USA | Cruelty Free (2 oz)"", ""text_missing"": false, ""text_fallback_used"": fals","[""B09B7F54K1"", ""B08HRHCZV2"", ""B0B88X2FK4"", ""B08G83G24X"", ""B09P9HMMLM"", ""B0B34GRFL2""]",B0B88X2FK4,"[""B0B88X2FK4"", ""B09B7F54K1"", ""B08HRHCZV2"", ""B08G83G24X"", ""B09P9HMMLM"", ""B0B34GRFL2""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0B88X2FK4"",""B09B7F54K1"",""B08HRHCZV2"",""B08G83G24X"",""B09P9HMMLM"",""B0B34GRFL2""]}"
hit1,beauty_test_AE7IYF7RTSGCJORHIE56UHRAMY5A_listwise,"[{""item_id"": ""B01N95D8Q9"", ""title"": ""LA MAXIME chemical free, natural organic vegan best body oil after shower for glowing skin, anti-aging with vitamins A C E for wrinkle repair & soothing hydrating body oil for extremely dry aging, mature, sensitive atopic eczema skin conditions for women and men over 30 40 50 60 (3.4 fl oz)"", ""text"": ""Title: LA MAXIME chemical free, natural organic vegan best body oil after shower for glowing skin, anti-aging with vitamins A C E for wrinkle repair & soothing ","[""B07VC9WLW3"", ""B0BQWTXV2Q"", ""B081N8WY8N"", ""B08K8P7LN6"", ""B00MQ6BE92"", ""B0BP2Y6QY4""]",B0BQWTXV2Q,"[""B0BQWTXV2Q"", ""B07VC9WLW3"", ""B081N8WY8N"", ""B08K8P7LN6"", ""B00MQ6BE92"", ""B0BP2Y6QY4""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BQWTXV2Q"",""B07VC9WLW3"",""B081N8WY8N"",""B08K8P7LN6"",""B00MQ6BE92"",""B0BP2Y6QY4""]}"
hit1,beauty_test_AE7YYSYFEWAYIUCAK4W33CHPP4JQ_listwise,"[{""item_id"": ""B08F4ZDVZQ"", ""title"": ""TOUCH IN SOL Best of No Pore Blem Travel Kit - Face Makeup Primer, Big Pores Perfect Cover, Inner-Glowing Skin with Moisture, Long Lasting Makeup's Staying Kit"", ""text"": ""Title: TOUCH IN SOL Best of No Pore Blem Travel Kit - Face Makeup Primer, Big Pores Perfect Cover, Inner-Glowing Skin with Moisture, Long Lasting Makeup's Staying Kit"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B01EUR8IPW"", ""title"": ""YOUTH L","[""B00AX3YNPC"", ""B08PHS33D9"", ""B08DJ1BMHX"", ""B07CTMKDN3"", ""B08H2KSHZZ"", ""B099959RFF""]",B08DJ1BMHX,"[""B08DJ1BMHX"", ""B00AX3YNPC"", ""B08PHS33D9"", ""B07CTMKDN3"", ""B08H2KSHZZ"", ""B099959RFF""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B08DJ1BMHX"",""B00AX3YNPC"",""B08PHS33D9"",""B07CTMKDN3"",""B08H2KSHZZ"",""B099959RFF""]}"
